file,q,id,database,key,evidence
2022-06-CET4-1.pdf,43,1028,I,D,stated in prose
2022-12-CET4-1.pdf,47,1087,C,B,stated in prose
2022-12-CET4-1.pdf,48,1088,A,C,stated in prose
2022-12-CET4-1.pdf,49,1089,B,D,stated in prose
2022-12-CET4-1.pdf,50,1090,C,B,stated in prose
2022-12-CET4-1.pdf,51,1091,A,C,stated in prose
2022-12-CET4-1.pdf,52,1092,C,B,stated in prose
2022-12-CET4-1.pdf,55,1095,D,A,stated in prose
2022-12-CET4-1.pdf,27,1097,N,H,bank word
2022-12-CET4-1.pdf,28,1098,D,B,bank word
2022-12-CET4-1.pdf,29,1099,H,M,stated in prose
2022-12-CET4-1.pdf,30,1100,J,E,bank word
2022-12-CET4-1.pdf,31,1101,E,O,bank word
2022-12-CET4-1.pdf,32,1102,I,C,bank word
2022-12-CET4-1.pdf,33,1103,O,D,stated in prose
2022-12-CET4-1.pdf,34,1104,G,A,stated in prose
2022-12-CET4-1.pdf,35,1105,K,F,bank word
2022-12-CET4-1.pdf,37,1107,K,G,stated in prose
2022-12-CET4-1.pdf,38,1108,C,B,stated in prose
2022-12-CET4-1.pdf,39,1109,O,D,stated in prose
2022-12-CET4-1.pdf,40,1110,G,L,stated in prose
2022-12-CET4-1.pdf,41,1111,D,A,stated in prose
2022-12-CET4-1.pdf,42,1112,L,J,stated in prose
2022-12-CET4-1.pdf,44,1114,A,C,stated in prose
2022-12-CET4-1.pdf,1,1116,B,A,stated in prose
2022-12-CET4-1.pdf,2,1117,A,C,stated in prose
2022-12-CET4-1.pdf,5,1120,C,D,stated in prose
2022-12-CET4-1.pdf,6,1121,A,C,stated in prose
2022-12-CET4-1.pdf,7,1122,C,A,stated in prose
2022-12-CET4-1.pdf,8,1123,A,C,stated in prose
2022-12-CET4-1.pdf,12,1127,A,C,stated in prose
2022-12-CET4-1.pdf,14,1129,B,D,stated in prose
2022-12-CET4-1.pdf,15,1130,A,B,stated in prose
2022-12-CET4-1.pdf,17,1132,D,A,stated in prose
2022-12-CET4-1.pdf,18,1133,B,D,stated in prose
2022-12-CET4-1.pdf,22,1137,D,A,stated in prose
2022-12-CET4-1.pdf,23,1138,A,D,stated in prose
2022-12-CET4-1.pdf,24,1139,C,B,stated in prose
2022-12-CET4-1.pdf,25,1140,B,C,stated in prose
2023-06-CET4-1.pdf,35,1245,M,K,bank word
2023-06-CET4-1.pdf,39,1359,D,J,stated in prose
2024-06-CET4-1.pdf,31,156,D,I,bank word
2025-06-CET4-3.pdf,26,528,J,G,bank word
2025-06-CET4-3.pdf,27,529,B,F,bank word
2025-06-CET4-3.pdf,28,530,C,H,bank word
2025-06-CET4-3.pdf,29,531,I,C,bank word
2025-06-CET4-3.pdf,30,532,L,E,bank word
2025-06-CET4-3.pdf,31,533,H,A,bank word
2025-06-CET4-3.pdf,32,534,A,I,bank word
2025-06-CET4-3.pdf,33,535,E,K,bank word
2025-06-CET4-3.pdf,34,536,K,O,bank word
2025-12-CET4-1.pdf,12,588,A,C,stated in prose
